,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3)
199,ASIQEA_clean,4.98e-08,1.28e-08,6,2,3.788422405,0.239103738,902.5467531
200,ASIQIE_clean,4.97e-08,1.38e-08,6,2,3.81682422,0.243701536,893.5609457
201,ASIVAB_clean,8.89e-08,1.69e-08,6,2,8.59962903,1.020679097,538.2384909
202,ASIVEF_clean,2.69e-08,6.33e-09,6,2,12.22172907,2.239698705,623.2559517
203,ASOHUL_clean,8.68e-08,1.71e-08,6,2,13.42398,0.181076362,1039.019596
204,ASOSUY_clean,2.89e-08,5.65e-09,6,2,12.81143471,4.978036244,897.3230846
205,ASOVEL_clean,5.01e-08,9.87e-09,6,2,2.841105438,0.523509237,1033.773129
206,ASOYOY_clean,5e-08,1.06e-08,6,2,3.085330213,0.497082932,828.6644505
207,ASUKEE_clean,1.93e-08,1.5e-09,6,2,2.017941379,0.317244104,1185.951556
208,ASUKEE01_clean,1.97e-08,1.41e-09,6,2,2.017886291,0.308201909,1188.814435
209,ASUWUI_clean,2.66e-08,4.99e-09,6,2,4.540842084,0.638428233,1150.888489
210,ATAFIK_clean,7.64e-08,2.6e-09,6,2,12.85274488,0.848354682,1215.198061
211,ATAYAX_clean,6.06e-08,5.34e-09,6,2,12.33138501,1.909961149,781.9066707
212,ATAYEB_clean,7.81e-08,7.81e-09,6,2,12.66413228,1.811233138,825.8796793
213,ATEYED_clean,1.53e-07,3.26e-08,6,2,2.139912035,0.504071903,467.8070009
214,ATEYUV_clean,1.08e-07,2.2e-08,6,2,8.025560069,0.871698643,751.1257515
215,ATEZAC_clean,1.14e-07,2.32e-08,6,2,6.484369841,0.788350982,687.6261035
216,ATEZEG_clean,9.95e-08,2.18e-08,6,2,8.177831869,0.991888331,775.5628149
217,ATEZIK_clean,1.09e-07,2.24e-08,6,2,7.187789534,0.863653116,744.2867345
218,ATIBAG_clean,8.56e-09,2.09e-09,6,2,4.443049644,0.018274476,1648.287612
219,ATIBOU_clean,9.75e-09,1.74e-09,6,2,4.63355447,0.020490725,1662.690144
220,ATIBOU01_clean,1.2e-08,1.7e-09,6,2,5.197484522,0.022403598,1592.724748
221,ATIBOU02_clean,1.09e-08,1.78e-09,6,2,5.25027213,0.022384437,1589.304074
222,ATIBUA_clean,7.55e-09,1.45e-09,6,2,4.318703371,0.014895814,1675.809756
223,ATICAH_clean,1.35e-08,1.93e-09,6,2,5.122029857,0.020158607,1595.15901
224,ATICEL_clean,1.05e-08,1.75e-09,6,2,5.076215131,0.017436197,1609.945308
225,ATIJUJ_manual,1.04e-07,3.02e-08,6,2,0.813147077,0.129397668,753.3903252
226,ATIXUX_clean,2.44e-08,5.68e-10,6,2,7.421660956,1.69005531,1550.481254
227,ATOGEV_clean,3.58e-08,6.09e-09,6,2,3.79636363,0.373420823,1618.015229
228,ATOWIQ_clean,4.9e-08,1.31e-08,6,2,7.718093374,0.158797242,866.798603
229,ATOWOW_clean,5.83e-08,1.45e-08,6,2,7.667171767,0.160821344,865.5490123
230,ATULIM_clean,1.38e-08,5.97e-09,6,2,3.37852348,0.079902883,1758.19108
231,ATUZEW_clean,3.34e-08,9.27e-10,6,2,14.30644765,2.250936688,968.9242537
232,AVAJUE_clean,4.79e-07,6.89e-08,6,2,4.339611979,1.197565725,164.1141169
233,AVAKAL_clean,3.38e-07,5.54e-08,6,2,4.228835963,1.191144965,207.411938
234,AVAKEP_clean,2.72e-07,4.89e-08,6,2,4.051184761,1.028038773,244.9897896
235,AVAQIX_clean,2.56e-08,4.25e-09,6,2,6.025734231,0.359267964,1307.065382
236,AVAQIX01_clean,2.46e-08,4.24e-09,6,2,5.844939888,0.355469224,1327.955015
237,AVEHAM_clean,1.81e-08,4.68e-09,6,2,4.023434879,0.228359771,1209.907683
238,AVELOD_clean,5.39e-08,1.52e-08,6,2,3.109808175,0.283566392,915.228378
239,AVELUJ_clean,5.05e-08,1.4e-08,6,2,3.204297022,0.295702567,902.6660733
240,AVEMAQ_clean,5.72e-08,1.52e-08,6,2,2.884946804,0.250578511,907.2566823
241,AVEQID_clean,1.18e-07,2.2e-08,6,2,12.65106079,0.786930706,801.3042002
242,AVESOL_clean,9.93e-08,1.55e-08,6,2,15.80421375,1.026851861,954.5946935
243,AVESUR_clean,6.76e-08,1.27e-08,6,2,13.02934743,0.84707839,1184.5737
244,AVETAY_clean,2.29e-08,1.94e-09,6,2,16.43639573,2.150569553,1013.750813
245,AVETEC_clean,1.39e-08,9.86e-10,6,2,16.11398192,2.807607503,1194.782027
246,AVEVEE_clean,1.36e-08,2.93e-09,6,2,6.402778961,0.105520122,1604.723086
247,AVIHIY_clean,4.22e-08,1.5e-08,6,2,8.508098395,0.064758068,1621.240384
248,AVIMIC_clean,6.54e-08,1.9e-08,6,2,2.840819726,0.085213292,1518.745424
249,AVIMOI_clean,3.01e-08,5.86e-09,6,2,6.728208096,0.41596927,1226.215279
250,AVIMUO_clean,3.32e-08,6.29e-09,6,2,6.560274671,0.310749481,1240.937755
