,Adsorbent,D_H2(m^2/s),D_N2(m^2/s),P_H2(bar),P_N2(bar),q_H2(mol/kg),q_N2(mol/kg),Density(kg ads/m^3),a_H2(mol/(mm^2 bar s)),a_N2(mol/(mm^2 bar s)),P_H2(Barrer),P_N2(Barrer),Pu_ret_0.7,Pu_perm_0.7
79,AFOYAW_clean,3.69e-08,8.16e-09,6,2,2.614173701,0.382068374,978.1052232,2.0966883000661434e-09,2.0329447129253853e-10,462504.772073414,44844.36866747173,0.6973544419881512,0.9624477971741153
80,AFOYEB_clean,4.18e-08,1.53e-08,6,2,3.583271465,0.011881019,1682.250539,5.599305394917022e-09,2.0386587628951626e-11,1235140.8959375785,4497.041388739329,0.5377755322611268,0.997987412120808
81,AFOYIE_clean,5.17e-08,1.45e-08,6,2,1.662947094,0.343500288,761.8732935,1.455590498580426e-09,2.5298023921219993e-10,321086.139392741,55804.464532102924,0.7184523852619085,0.9379579683345116
82,AFOYOK_clean,4.94e-08,1.07e-08,6,2,1.69612037,0.314085359,979.4296205,1.8236619599418696e-09,2.1943881283191643e-10,402278.3735165889,48405.620477628625,0.7064752763331706,0.954815300659724
83,AFUKET_clean,3.18e-08,6.99e-09,6,2,7.900498321,0.41451076,959.6904501,5.357969838050982e-09,1.85375740311433e-10,1181905.1113347753,40891.70742163963,0.5567018690494852,0.9818902103655656
84,AFUKIX_clean,5.92e-08,1.24e-08,6,2,8.369198157,0.415428431,784.2839795,8.635080438202773e-09,2.693394601313535e-10,1904797.1554859057,59413.11620544562,0.3439087981108768,0.9769352864158878
85,AGABIU_clean,7.75e-08,1.86e-09,6,2,7.171084105,2.522687848,647.1188468,7.992047442574208e-09,2.0242737752823257e-10,1762951.6417443107,44653.09798416895,0.38852162973512866,0.9824561780319907
86,AGIREP_clean,1.03e-07,8.26e-09,6,2,14.96500996,0.629095145,998.4664836,3.4200717106564847e-08,3.458904831144088e-10,7544275.83233048,76299.37127523722,0.048350961067352864,0.9543731229789285
87,AGOFEJ_clean,1.14e-07,1.88e-08,6,2,4.36858964,0.960078283,583.6666994,6.459494083736646e-09,7.023250389973006e-10,1424888.4008242602,154924.6409552869,0.5082046579244248,0.9416583104088628
88,AGONAM_clean,5.32e-08,1.69e-08,6,2,7.861513444,0.054755577,1437.681334,1.3361890675662559e-08,8.869240664343769e-11,2947475.8843373293,19564.501465464196,0.10284033587908205,0.9911225954040129
89,AGONEQ_clean,9.57e-08,6.37e-09,6,2,13.91045641,0.525881779,1082.535661,3.2024548498339465e-08,2.417566942495763e-10,7064238.639339589,53328.68255505359,0.048887683081010394,0.9679787720640608
90,AGUBUA_clean,2.15e-08,3.15e-09,6,2,3.620517874,3.347657174,1833.358099,3.1713483108389228e-09,1.2888654224519542e-09,699562.1273909388,284308.549070284,0.6931725126487692,0.8617460712093612
91,AGUWUV_clean,9.96e-09,1.92e-09,6,2,4.612055466,0.191757984,1512.112665,1.5435670426430653e-09,3.711483855632223e-11,340492.72999479383,8187.096740365198,0.7098673752356307,0.9906195823045842
92,AHAMAY_clean,4.45e-08,1.69e-08,6,2,2.193849089,0.056320956,2250.167934,4.881678551301769e-09,1.427842797025254e-10,1076840.856904802,31496.532287321777,0.580514268465909,0.9852584252074823
93,AHEQAH_clean,6.46e-08,7.59e-09,6,2,7.301605028,1.265696836,759.2789469,7.958655366034159e-09,4.862745821307676e-10,1755585.742507535,107266.45194061048,0.3973323426343962,0.9597182051776578
94,AHIYOH_clean,1.13e-08,4.28e-09,6,2,6.127907165,0.475685891,1425.451654,2.193464445870156e-09,1.934751858448381e-10,483852.4512948874,42678.34981871428,0.6939001181421764,0.9654370671134761
95,AHOKIR_clean,3.15e-08,1.6e-09,6,2,3.813035355,0.205896062,1882.073273,5.023488351454697e-09,4.133455736598943e-11,1108122.4304679479,9117.917066027081,0.5697839685318146,0.9957134320862194
96,AHOKIR01_clean,5.05e-08,1.95e-09,6,2,4.236537557,0.192046565,1927.016825,9.161686604004701e-09,4.81100050519993e-11,2020960.2802951548,10612.501114411609,0.3041558897802811,0.9957167608116028
97,AHOKOX_clean,4.18e-08,3.64e-09,6,2,4.286090847,0.181267581,1739.666291,6.92613716994717e-09,7.652374434354641e-11,1527824.3757236404,16880.23772284112,0.45826136352054403,0.993066628032219
98,AJAKON_clean,2.26e-08,5.78e-09,6,2,6.662612552,1.008400704,1367.21697,4.574861221582769e-09,5.312600512198239e-10,1009160.5635844343,117189.71718084351,0.6089591731136572,0.9472256374805605
99,AJAYIT_clean,2.3e-08,7.18e-09,6,2,3.761500884,0.012209764,1983.921103,3.814177391168387e-09,1.1594842450596852e-11,841362.6598165559,2557.6858346904824,0.6265607217412921,0.9985699504686536
100,AJIGIL_clean,2.84e-08,8.1e-09,6,2,1.788795325,0.123099804,1089.863102,1.2303776315029285e-09,7.244744449123729e-11,271406.8304785872,15981.053931890578,0.7199976971988395,0.9779364834044149
101,AJOTEY_clean,6.33e-08,1.29e-08,6,2,4.112368727,0.48144868,1255.608274,7.263357373766468e-09,5.198794136583653e-10,1602211.185389662,114679.2824246394,0.4481169663396592,0.956705685240227
102,AJOVEB_clean,8.8e-09,1.05e-09,6,2,4.014531964,1.142442814,1956.514445,1.535989112040576e-09,1.564644107724214e-10,338821.1276560094,34514.20825862237,0.7134281683961134,0.9620132270680539
103,AKEDIF_clean,5.36e-08,1.58e-08,6,2,5.307347175,0.436367198,925.8710753,5.853023800992244e-09,4.255674877359298e-10,1291108.191395348,93875.1811182198,0.5365665747918832,0.9616826526056756
104,AKOBAF_clean,2.98e-08,4.71e-09,6,2,2.775372155,0.367440726,1150.591061,2.1146864021386874e-09,1.327510406418464e-10,466474.94164823985,29283.317788642587,0.6947087477386323,0.9751366575138066
105,AKOXIJ_clean,1.13e-08,2.92e-09,6,2,9.127076255,1.282413995,1427.60356,3.271939245789622e-09,3.5639160341300003e-10,721751.304218299,78615.79487051471,0.660078962417238,0.9547399481714267
106,AKUKUO_clean,3.49e-08,7.75e-09,6,2,2.891449271,0.25607501,1304.762463,2.925903135315246e-09,1.7262714805951398e-10,645419.809260716,38079.51795430455,0.667542552768275,0.9752068867056443
107,ALAMUW_clean,1.15e-07,6.6e-09,6,2,9.575004506,1.662784453,649.9666963,1.5904331450435106e-08,4.755319877331816e-10,3508308.4081842145,104896.76199996653,0.06148280656840433,0.9506807107607292
108,ALANAD_clean,1.18e-07,1.09e-08,6,2,11.09315904,1.108366764,697.3217445,2.0284202658379373e-08,5.616321250039646e-10,4474456.468760156,123889.43933910983,0.04935328903046165,0.9363984322633464
109,ALEJEI_clean,1.27e-07,7.74e-09,6,2,9.824873504,1.946478959,600.7783235,1.665836713569448e-08,6.034116207094795e-10,3674639.809344371,133105.50456826753,0.05616886507149404,0.9370507609429032
110,ALEJIM_clean,1.23e-07,7.54e-09,6,2,9.505512781,1.84770084,592.1070919,1.5383969514721594e-08,5.499358169263232e-10,3393522.6870709397,121309.37138080658,0.06484150798676885,0.944337791536338
111,ALICAA_clean,4.72e-09,2.14e-09,6,2,2.573432562,0.211858108,1432.285677,3.8660896952427166e-10,4.329096359997992e-11,85281.39033623639,9549.477264701454,0.7417074753577554,0.9611234715945015
